Name,years played,All Star Game appearances,WAR,games played,plate appearances,at-bats,runs,hits,doubles,triples,homeruns,RBI,stolen bases,walks,strikeouts,BA,OBP,SLG,OPS
Hank Aaron,23,25,143,3298,13941,12364,2174,3771,624,98,755,2297,240,1402,1383,0.305,0.374,0.555,0.928
Roberto Alomar,17,12,67.1,2379,10400,9073,1508,2724,504,80,210,1134,474,1032,1140,0.3,0.371,0.443,0.814
Cap Anson,27,0,94.4,2524,11331,10281,1999,3435,582,142,97,2075,277,984,330,0.334,0.394,0.447,0.841
Luis Aparicio,18,13,55.8,2599,11230,10230,1335,2677,394,92,83,791,506,736,742,0.262,0.311,0.343,0.653
Luke Appling,20,7,74.5,2422,10254,8856,1319,2749,440,102,45,1116,179,1302,528,0.31,0.399,0.398,0.798
Richie Ashburn,15,6,63.9,2189,9736,8365,1322,2574,317,109,29,586,234,1198,571,0.308,0.396,0.382,0.778
Earl Averill,13,6,48,1669,7221,6353,1224,2019,401,128,238,1164,70,774,518,0.318,0.395,0.534,0.928
Jeff Bagwell,15,4,79.9,2150,9431,7797,1517,2314,488,32,449,1529,202,1401,1558,0.297,0.408,0.54,0.948
Harold Baines,22,6,38.7,2830,11092,9908,1299,2866,488,49,384,1628,34,1062,1441,0.289,0.356,0.465,0.82
Home Run Baker,13,0,62.8,1575,6676,5984,887,1838,315,103,96,991,235,473,344,0.307,0.363,0.442,0.805
Dave Bancroft,16,0,48.5,1913,8249,7182,1048,2004,320,77,32,591,145,827,487,0.279,0.355,0.358,0.714
Ernie Banks,19,14,67.5,2528,10395,9421,1305,2583,407,90,512,1636,50,763,1236,0.274,0.33,0.5,0.83
Jake Beckley,20,0,61.6,2392,10517,9551,1603,2938,473,244,87,1581,315,616,526,0.308,0.361,0.436,0.797
Johnny Bench,17,14,75.2,2158,8674,7658,1091,2048,381,24,389,1376,68,891,1278,0.267,0.342,0.476,0.817
Yogi Berra,19,18,59.8,2120,8359,7555,1175,2150,321,49,358,1430,30,704,414,0.285,0.348,0.482,0.83
Craig Biggio,20,7,65.5,2850,12504,10876,1844,3060,668,55,291,1175,414,1160,1753,0.281,0.363,0.433,0.796
Wade Boggs,18,12,91.4,2439,10740,9180,1513,3010,578,61,118,1014,24,1412,745,0.328,0.415,0.443,0.858
Jim Bottomley,16,0,35.3,1991,8354,7471,1177,2313,465,151,219,1422,58,664,591,0.31,0.369,0.5,0.869
Lou Boudreau,15,8,63,1646,7025,6029,861,1779,385,66,68,789,51,796,309,0.295,0.38,0.415,0.795
Roger Bresnahan,17,0,42.5,1446,5376,4481,682,1252,218,71,26,530,212,714,403,0.279,0.386,0.377,0.764
George Brett,21,13,88.7,2707,11625,10349,1583,3154,665,137,317,1596,201,1096,908,0.305,0.369,0.487,0.857
